,Unnamed: 0,idd,id,city_name,city_short,nominatim_location,nominatim_coordinates
0,0,0,1,"Myrtle Beach, SC",Myrtle Beach,"Myrtle Beach, Horry County, South Carolina, USA","(33.6956461, -78.8900409)"
1,1,1,2,"Orlando, FL",Orlando,"Orlando, Orange County, Florida, USA","(28.5421097, -81.3790388)"
2,2,2,3,"New Orleans, LA",New Orleans,"New Orleans, Orleans Parish, Louisiana, USA","(29.9499323, -90.0701156)"
3,3,3,5,"Atlantic City, NJ",Atlantic City,"Atlantic City, Atlantic County, New Jersey, USA","(39.3642852, -74.4229351)"
4,4,4,6,"San Antonio, TX",San Antonio,"San Antonio, Bexar County, Texas, USA","(29.4246002, -98.4951405)"
5,5,5,7,"Las Vegas, NV",Las Vegas,"Las Vegas, Clark County, Nevada, USA","(36.1662859, -115.149225)"
6,6,6,8,"Daytona Beach, FL",Daytona Beach,"Daytona Beach, Volusia County, Florida, USA","(29.2108147, -81.0228331)"
7,7,7,9,"New York, NY",New York,"New York, United States of America","(40.7127281, -74.0060152)"
8,8,8,11,"Nashville, TN",Nashville,"Nashville-Davidson, Davidson County, Tennessee, United States of America","(36.1622296, -86.7743531)"
9,9,9,12,"Gatlinburg, TN",Gatlinburg,"Gatlinburg, Sevier County, Tennessee, USA","(35.714259, -83.5101638)"
10,10,10,13,"Chicago, IL",Chicago,"Chicago, Cook County, Illinois, United States of America","(41.8755616, -87.6244212)"
11,11,11,14,"Clearwater Beach, FL",Clearwater Beach,"Clearwater Beach, Pinellas County, Florida, 33767, USA","(27.9774736, -82.8279313)"
12,12,12,15,"Savannah, GA",Savannah,"Savannah, Chatham County, Georgia, USA","(32.0809263, -81.0911768)"
13,13,13,17,"Atlanta, GA",Atlanta,"Atlanta, Fulton County, Georgia, USA","(33.7490987, -84.3901849)"
14,14,14,18,"Ocean City, MD",Ocean City,"Ocean City, Worcester County, Maryland, 21843, USA","(38.3348728, -75.0847659)"
15,15,15,19,"Miami, FL",Miami,"Miami, Miami-Dade County, Florida, USA","(25.7742658, -80.1936589)"
16,16,16,21,"Key West, FL",Key West,"Key West, Monroe County, Florida, USA","(24.5625566, -81.7724368)"
17,17,17,22,"Washington, D.C",Washington,"Washington, District of Columbia, USA","(38.8950092, -77.0365625)"
18,18,18,24,"Los Angeles, CA",Los Angeles,"Los Angeles, Los Angeles County, California, United States of America","(34.0536909, -118.2427666)"
19,19,19,25,"San Diego, CA",San Diego,"San Diego, San Diego County, California, USA","(32.7174209, -117.1627714)"
20,20,20,26,"Galveston, TX",Galveston,"Galveston, Galveston County, Texas, USA","(29.299328, -94.7945882)"
21,21,21,27,"Denver, CO",Denver,"Denver, Denver County, Colorado, United States of America","(39.7392364, -104.9848623)"
22,22,22,29,"St. Augustine, FL",St. Augustine,"St. Augustine, St. Johns County, Florida, 32084, USA","(29.8946952, -81.3145395)"
23,23,23,30,"Austin, TX",Austin,"Austin, Travis County, Texas, United States of America","(30.2711286, -97.7436995)"
24,24,24,31,"Fort Lauderdale, FL",Fort Lauderdale,"Fort Lauderdale, Broward County, Florida, USA","(26.1223084, -80.1433786)"
25,25,25,32,"Tampa, FL",Tampa,"Tampa, Hillsborough County, Florida, USA","(27.9477595, -82.458444)"
26,26,26,33,"Charleston, SC",Charleston,"Charleston, Charleston County, South Carolina, USA","(32.7876012, -79.9402728)"
27,27,27,34,"Dallas, TX",Dallas,"Dallas, Dallas County, Texas, United States of America","(32.7762719, -96.7968559)"
28,28,28,35,"Phoenix, AZ",Phoenix,"Phoenix, Maricopa County, Arizona, United States of America","(33.4485866, -112.0773456)"
29,29,29,38,"Jacksonville, FL",Jacksonville,"Jacksonville, Duval County, Florida, United States of America","(30.3321838, -81.655651)"
30,30,30,39,"Charlotte, NC",Charlotte,"Charlotte, Mecklenburg County, North Carolina, United States of America","(35.2270869, -80.8431268)"
31,31,31,40,"Philadelphia, PA",Philadelphia,"Philadelphia, Philadelphia County, Pennsylvania, USA","(39.9527237, -75.1635262)"
32,32,32,42,"Memphis, TN",Memphis,"Memphis, Shelby County, Tennessee, USA","(35.1490215, -90.0516285)"
33,33,33,44,"Corpus Christi, TX",Corpus Christi,"Corpus Christi, Nueces County, Texas, USA","(27.8002542, -97.3955744)"
34,34,34,45,"Boston, MA",Boston,"Boston, Suffolk County, Massachusetts, United States of America","(42.3602534, -71.0582912)"
35,35,35,46,"Seattle, WA",Seattle,"Seattle, King County, Washington, United States of America","(47.6038321, -122.3300624)"
36,36,36,47,"San Francisco, CA",San Francisco,"San Francisco, San Francisco City and County, California, United States of America","(37.7792808, -122.4192363)"
37,37,37,48,"Saint Louis, MO",Saint Louis,"St. Louis, City of Saint Louis, Missouri, United States of America","(38.6268039, -90.1994097)"
38,38,38,49,"Anaheim, CA",Anaheim,"Anaheim, Orange County, California, USA","(33.8347516, -117.911732)"
